岩名,GPS経度,GPS緯度,URL,エリア名,コメント,ルート数,初登権,場所,岩画像,池亀ボルダールート,発見した日時,発見者,経度,緯度
尖峰岩,140;10;8.5007,36;23;40.2935,"https://www.google.co.jp/maps?q=36.394526,140.169028",崩落地周辺（仮）,先の尖った岩,3,発見者,,20251231_140614398-min.jpg,"稜線 (https://www.notion.so/2df8446c81038041bf86d428499bece1?pvs=21), 均衡 (https://www.notion.so/2df8446c81038027be3cf3bab5e4efa3?pvs=21), 刃先 (https://www.notion.so/2df8446c8103801d98f9c33d43ad70aa?pvs=21)","October 21, 2025 16:25 (GMT+9)",森　清隆,140.169028,36.394526
002（仮）,140;10;10.7976,36;23;33.5112,"https://www.google.co.jp/maps?q=36.392642,140.169666",ハイキング道周辺,,0,発見者,,002_20251030_125223684-min.jpg,,"October 30, 2025 12:52 (GMT+9)",森　清隆,140.169666,36.392642
テルテル岩,140;10;10.6967,36;23;39.3431,"https://www.google.co.jp/maps?q=36.394262,140.169638",東尾根（仮）,丸いし前日雨降って晴れたから,2,発見者,,015_20251101_094327-min.jpg,"ハレルヤ (https://www.notion.so/2b78446c8103804e9b47cacc4b37ab3d?pvs=21), ボウズ (https://www.notion.so/2b78446c8103804e9ea6f65f7738ae97?pvs=21)","November 1, 2025 9:43 (GMT+9)",森　清隆,140.169638,36.394262
029（仮）,140;10;11.3700,36;23;42.2124,"https://www.google.co.jp/maps?q=36.395059,140.169825",東エリア（仮）,,0,発見者,,029_20251030_131613105-min.jpg,,"October 30, 2025 13:16 (GMT+9)",森　清隆,140.169825,36.395059
003（仮）,140;10;10.7976,36;23;33.5112,"https://www.google.co.jp/maps?q=36.392642,140.169666",ハイキング道周辺,,0,発見者,,003_20251030_125232950-min.jpg,,"October 30, 2025 12:52 (GMT+9)",森　清隆,140.169666,36.392642
012（仮）,140;10;10.5168,36;23;38.1732,"https://www.google.co.jp/maps?q=36.393937,140.169588",東尾根（仮）,,0,発見者,,012_20251101_094116-min.jpg,,"November 1, 2025 9:41 (GMT+9)",森　清隆,140.169588,36.393937
032（仮）,140;10;12.5796,36;23;42.7128,"https://www.google.co.jp/maps?q=36.395198,140.170161",東エリア（仮）,,0,発見者,,032_20251101_095348-min.jpg,,"November 1, 2025 9:53 (GMT+9)",森　清隆,140.170161,36.395198
035（仮）,140;10;13.5011,36;23;42.7207,"https://www.google.co.jp/maps?q=36.3952,140.170417",東エリア（仮）,,0,発見者,,035_20251101_095914-min.jpg,,"November 1, 2025 9:59 (GMT+9)",森　清隆,140.170417,36.3952
007～008（仮）,140;9;39.2328,36;22;52.7375,"https://www.google.co.jp/maps?q=36.381316,140.160898",森エリア（仮）,,0,発見者,,20251030_142513711-min.jpg,,"October 30, 2025 14:25 (GMT+9)",森　清隆,140.160898,36.381316
048（仮）,140;10;5.8440,36;23;46.5828,"https://www.google.co.jp/maps?q=36.396273,140.16829",谷広場上（仮）,,0,発見者,,048_20251030_133609197-min.jpg,,"October 30, 2025 13:36 (GMT+9)",森　清隆,140.16829,36.396273
